1.wav|poh-cin1 e=su tsy=we nyu=in1 tshe=zih
10.wav|zy=lian cih fon=shi , se1=cih fon=shi , sy=cih fon=shi ngu-ze tsu-ku , sin-thoh kah=sah=ze tsu-ku
100.wav|su=i ngu fah-ciah yi la di-tsheh geh-gheh yi=le lon tsheh=le geh meh-zy khen=din zy=meh nyin chi deu=geh , waon 'lau-sy non-kaon te=vah
1000.wav|ziu geh paon siau-ciu-deu yi=le ze=vah thin ghe=gho
1001.wav|ne=meh yeu=tson siau=tshin1=nyi ghe me-hau , non-we vah=cian , yeu=tson siau nyin lau li=tsy geh , te ya=nyan ghe=lau tsen1=zon geh
1002.wav|te=vah , yeu-ji zy ciau1-kue nyin-ka1 non=tshen1 li le-ku siau=tshin1=nyi , te ya=nyan theh=bih tsen1=zon
1003.wav|r-tshia1 sah zy=thi ze sian=zah ya=nyan
1004.wav|zen=zy li nyin nyi , thon1=thon1 ze theh zen=zy=ho 'leh , zian kueh=nga ghoh-zih , yi=le zy
1005.wav|te=vah 'la , yi la pi-ciau hau=zian
1006.wav|sian tih tsheh , sian tih tsheh geh-gheh
1007.wav|geh=tson siau=tshin1=nyi
1008.wav|a1-'la a1-ku1 ghe=vah zy kaon-gheh , non oh=li sian1=ciau1 'leh tse hau
1009.wav|ciau1=yoh le faon=fah tse hau
101.wav|non kaon=kaon kaon-tau , zy yeu dau=li geh
1010.wav|hau 'leh , bau tau zo-we kau1=deu
1011.wav|ze=vah=le se , yi iau1 pi-ciau geh ia , nau
1012.wav|a1-'la nyu-r zy geh-nen keh
1013.wav|don , a1-'la don=zy nau , yi la tu1=sau hau-'la
1014.wav|yi la nyan vaon=tsy ma=theh nau
1015.wav|a , ma theh-liau i=gheu=ma
1016.wav|kau1 yi bin1 'leh ih=dau kah
1017.wav|paon yi ta siau nyin kah , ghe=i bi a1-'la vah hau=le , a1-'la i-sy1 meh vaon=tsy ma=theh , meh kau1 yi bin1 'leh ih=dau
1018.wav|'na sah vaon=tsy ma=theh , bin1='leh ih=dau kau1 yi la tson sen1 zyu lah ih=dau
1019.wav|ngu cian=vah=hau tson=sen1 , ngu kau1 a1-'la lau=kon1 cian . tson=sen1 zyu lah ih=dau , non li the=lu gha-meh
102.wav|ngu tsoe=jin tshoe tshoe-ka1 'leh ci tsah1 we-nyi
1020.wav|gho-thaon1 tsy , non=iau1
1021.wav|the=lu tu1 m-meh
1022.wav|vaon=tsy ma theh-liau i gheu , ziu=zy yi geh
1023.wav|de=khuoe ziu=zy yi geh min=zy , non meh min=zy 'leh
1024.wav|non gho-thaon1 tsy=iau1 sian kau1 yi fen1-khe le , meh=be=fah fen1-khe le
1025.wav|na-pho ih tsah1 khueh ziu geh-nen keh ih-ci vaon=ci , non-we yeu tsah1 loh=ciah=ti
1026.wav|non tseh1=hau ten-'leh ih=dau , non gho-thaon1 nyi=ci da-liau , e
1027.wav|yi thu syu=liu liu , ciah=ma hua chi , nau , tson1=fon 'leh , yi i bi non , non meh be=fah le
1028.wav|non tseh1=hau ken1 yi ten-'leh ih=dau
1029.wav|nga-ka1 geh=tson siau nyin da-liau , non vah khoe1 geh=tson siau=nyin=yi le , nga=kon1 nga=bu ciau-liau tshin=ngu , gho-thaon1 meh yon-gheh
103.wav|in1=we ngu tsan=mi kau1=deu yeu tih ih=pah ih=pah=se1-seh vae
1030.wav|yi tau yi geh da-liau , tau yi zeh ci=soe nye=ci=soe , yi lau=tsau maon-ci-theh 'leh , yi yeu yi geh chioe-tsy
1031.wav|yi ghe i bi non le
1032.wav|geh-gheh ghe=gho kaon-gheh te-gheh , ngu yi=le ciah-zah siau=tshin1=nyi
1033.wav|non de 'leh i tse hau , e , yi ghe vah le koe-cih non
1034.wav|tau zy , nau=tsy zy yi , sah di=faon , ziu zian non-kaon 'leh ih=ti gha vah tshu
1035.wav|vah iau1-kaon ih=yan , ngu yeu zan-tsy ken1 a1-'la lau=kon1 gha=cian
1036.wav|non vah iau1 te sen-tsy , 'ne sen-tsy taon pau=pe , hau=zian sen-tsy zy=non sah nyin sah nyin
1037.wav|zeh tsi laon sen-tsy yi
1038.wav|tse da-ih=nge , e iu1 , vah iau1=non 'leh , mae ciau ghoh-daon-li khe-we kah sah ciau yi la ya=nyan chi , ghe=vah iau1=non geh-gheh lau=deu lau=tha chi le , ngu kaon-gheh
1039.wav|yeu ciau1-kue siau veu=sy1 sah li faon sian=teh=tau non geh-gheh
104.wav|geh-gheh ih=pah=se1-seh vae nyi , zy ih-gon1 zy yeu=ngu=geh
1040.wav|ya=ya na=na a , sian1=vah=tau geh
1041.wav|tson=kue 'ne yi zy-cia1=geh ban=yeu=chioe li , ghe-yeu sian=sian nyin-ka1 nga deu-gheh nyin , non-kaon te=vah , yi
1042.wav|vah sian=tau non geh ba1 lau=deu lau=tha
1043.wav|sian ghe-yeu ma , yi sian=tau yi geh ya=nyan , ghe=vah we-sian tau=non lau=deu lau=tha
1044.wav|zo-we lah=lah=zi tsin , dih-gheh ih=ti ziu yeu ciau1-kue siau=tshin1=nyi ziu ken1 vah zaon
1045.wav|ngu ziu ciah-zah yi yeu geh ih=ti
1046.wav|a1-'la lau=tsau te nga=kon1 nga=bu vah theh hau=ngu
1047.wav|ze='leh tshau=phiau ze=paon nga=kon1 nga=bu di=ih-ku ma meh-zy
1048.wav|ze=vah=we tih maon-ci-theh geh , ngu geh-nen keh
1049.wav|poh-cin1 e=su tsy=we nyu=in1 tshe=zih
105.wav|ih-bu-ven1 da-bu=fen1 zy a1-'la di-di geh , in1=we , zy=ma ze=liau , tsy=tsy=cin1 tseu1=tsoe
1050.wav|poh-cin1 e=su tsy=we nyu=in1 tshe=zih
1051.wav|yi=le a1-'la le liau=liau kue-yu chih-gheh gho=di
1052.wav|e , ah1-tsia , ngu=yi le vah shiau=teh non ngu , non yi=le lah=he lon nge sa=geh chih , geh thi1=nyih dih geh chih zy=mae ve=geh
