1.wav|ŋu lɔ-hɔ-ɦəʔ , noŋ-ɲi ?
10.wav|'ne pɑ-pɑ 'mɑ='mɑ ɲi ,  ɦi lɑ hɔ vɐʔ ?
100.wav|noŋ-ku ci=ɲi , ŋu we tɪʔ ɲɪɲ=ʦəŋ1 kʰɔ=ly gəʔ .
1000.wav|zɑ̃-he-ɦe-ɦo
1001.wav|wɑ̃-pʰu-kɑ̃1
1002.wav|su=ʦɤ1=wu
1003.wav|zz=tʰi
1004.wav|məʔ-zz
1005.wav|bɐʔ=siã1
1006.wav|tã=bã
1007.wav|gɐʔ-bã-ɦiɤ
1008.wav|ʦʰəʔ=ɦiã=siã1
1009.wav|'lɪɲ vəʔ ʦʰɪɲ1
101.wav|ziɑ=ziɑ=noŋ gəʔ iɔ1 ʦʰɪɲ .
1010.wav|dɔ=ʦiã=wu
1011.wav|ɔ zɔ=ɦɪɲ
1012.wav|ge
1013.wav|kʰɑ̃
1014.wav|ɪɲ
1015.wav|tiɑ
1016.wav|wɐʔ-ci1
1017.wav|səʔ=i
1018.wav|tɪʔ=lɪʔ=kʷəŋ=ɦiø
1019.wav|lɔ=se1=lɔ=sz
102.wav|ziɑ=ziɑ=noŋ gəʔ ku=li .
1020.wav|ŋu
1021.wav|ɑ1-'lɑ
1022.wav|noŋ
1023.wav| ɲɪɲ 'nɑ 
1024.wav|ɦi
1025.wav|ɦi lɑ
1026.wav|gəʔ-ɦəʔ
1027.wav|dɪʔ-ɦəʔ
1028.wav|e1=gəʔ
1029.wav|ɦi gəʔ
103.wav|ziɑ=ziɑ=noŋ gəʔ ʦoʔ-foʔ .
1030.wav|gəʔ=tɐʔ
1031.wav|e1=mi
1032.wav|gəʔ-nəŋ
1033.wav|e1=nəŋ
1034.wav|ciɑ
1035.wav|pəʔ
1036.wav|vəʔ
1037.wav|m-məʔ
1038.wav|lɔ
1039.wav|ziɑ-cʰi
104.wav|ziɑ=ziɑ=noŋ gəʔ ʦz=dɔ .
1040.wav|ciɔ1-kʷe
1041.wav|ze
1042.wav|lɐʔ=lɐʔ
1043.wav|kəʔ-lɔ
1044.wav| lɑ̃
1045.wav|li=ɕiã
1046.wav|sɑ
1047.wav|sɑ-ɲɪɲ
1048.wav|tʰəʔ
1049.wav|gəʔ
105.wav|ziɑ=ziɑ=noŋ gəʔ li-vəʔ .
1050.wav|lɔ
1051.wav|vɐʔ
1052.wav|le
1053.wav|pəŋ=di=ɲɪɲ
1054.wav|ŋɑ=di=ɲɪɲ
1055.wav|ɕiã-ɦo-ɲɪɲ
1056.wav|ʦəŋ lɑ̃-ɲɪɲ
1057.wav|zəŋ=li=ɲɪɲ
1058.wav|ŋɑ ɕiã-ɲɪɲ
1059.wav|ŋɑ-lu-ɲɪɲ
106.wav|tʰəʔ=lɪɲ 'ləʔ , ziɑ=ziɑ=noŋ .
1060.wav|ŋɑ=kʷəʔ-ɲɪɲ
1061.wav|ŋɑ-dɤ-ɲɪɲ
1062.wav|ɦiã-ɲɪɲ
1063.wav|lɔ=ŋɑ
1064.wav|ɦo-ɟiɔ
1065.wav|he=kʷe
1066.wav|kɑ̃1-poʔ=ɲɪɲ
1067.wav|su-poʔ=ɲɪɲ
1068.wav|toŋ=ɦiã-ɲɪɲ
1069.wav|mɐʔ-sã1=ɲɪɲ
107.wav|vɐʔ iɔ1 kʰɐʔ=cʰi .
1070.wav|sã1 ɲɪɲ-dɤ
1071.wav|səŋ1-kʰɐʔ
1072.wav|zoʔ=kʰɐʔ
1073.wav|zoʔ-ɲɪɲ
1074.wav|bã=ɦiɤ
1075.wav|lɔ=bã=ɦiɤ
1076.wav|siɔ=bã=ɦiɤ
1077.wav|doŋ-ɦɑ̃
1078.wav|doŋ=ɲi
1079.wav|ʦz-ɲɪɲ-kɑ1
108.wav|vɐʔ iɔ1 ziɑ , ŋu ɑ hʷø=ɕi gəʔ .
1080.wav|kʰɐʔ-ɲɪɲ
1081.wav|pəŋ-ɲɪɲ
1082.wav|zz-kɑ1-ɲɪɲ
1083.wav|ɲɪɲ-kɑ1 ɲɪɲ
1084.wav|lɪɲ=cy1
1085.wav|ɟɪɲ=lɪɲ
1086.wav|kɑ1-fɑ̃
1087.wav|vɑ̃=kʰɐʔ
1088.wav|vɑ̃=toŋ
1089.wav|nø-ɲɪɲ-kɑ1
109.wav|ʦe ɪʔ=ʦʰz piɔ=zz kø-ziɑ .
1090.wav|ɲy-ɲɪɲ-kɑ1
1091.wav|nø-ɦəʔ
1092.wav|ɲy-ɦəʔ
1093.wav|si1-sã1
1094.wav|lɔ=koŋ1=koŋ1
1095.wav|lɔ=dɤ=ʦz
1096.wav|lɔ=tʰɑ=tʰɑ
1097.wav|lɔ=tʰɑ=bu
1098.wav|tʰu=ɦiɤ=bɪɲ
1099.wav|sɔ=ɦiɑ
11.wav|ɦi lɑ me-hɔ , lɔ-hɔ-ɦəʔ !
110.wav|noŋ cɪɲ1=ʦɔ1 ɦo-pø-tʰi1 ɦiɤ-zəŋ-kʷɑ̃1 vɐʔ ?
1100.wav|lɔ=ɦiɑ
1101.wav|sz-vu
1102.wav|sz='mu
1103.wav|ne-ɦɑ̃
1104.wav|ŋɑ-ɦɑ̃
